GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1006026,2052,City of Fort Smith Landfill,AR,5900 Commerce Road,Fort Smith,Sebastian,72916,35.2926,-94.3704,Public,"City of Fort Smith Department of Sanitation, AR",1981,2061,Open,"10,789,360",2022,Yes,2.183,0,170802-0,Shutdown,Project #1,6/1/1998,4/1/2005,Direct,Direct Thermal,,,,0.474,,
1006026,2052,City of Fort Smith Landfill,AR,5900 Commerce Road,Fort Smith,Sebastian,72916,35.2926,-94.3704,Public,"City of Fort Smith Department of Sanitation, AR",1981,2061,Open,"10,789,360",2022,Yes,2.183,0,180840-0,Operational,Project #2,5/1/2006,,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,,,2.184,0.2141,0.0172
,11547,City of Helena - West Helena Regional LF,AR,1448 B Phillips Highway 217,West Helena,Phillips,72390,34.56726,-90.629,Public,"City of Helena - West Helena, AR",,,Open,,,No,,,181017-0,Unknown,,,,Unknown,Unknown,,,,,,
,11541,City of Hope Landfill,AR,3759 Highway 67 West,Hope,Hempstead,71801,33.6422,-93.6781,Public,"City of Hope, AR",,,Open,,,No,,,181011-0,Unknown,,,,Unknown,Unknown,,,,,,
1011631,11546,City of Morrilton Landfill,AR,51 Dump Road,Morrilton,Conway,72110,35.1297,-92.6976,Public,"City of Morrilton, AR",1994,2044,Open,"1,056,797",2022,No,,,181016-0,Candidate,,,,Unknown,Unknown,,,,,,
,21403,City of Warren Landfill,AR,1424 A Bradley CR 25 North,Warren,Bradley,,33.561179,-92.11814,Public,"City of Warren, AR",1978,1992,Closed,,,No,,,201739-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005397,2291,Craighead County Solid Waste Disposal Authority LF,AR,238 County Road 476,Jonesboro,Craighead,72404,35.719434,-90.68862,Public,Craighead County Solid Waste Disposal Authority,1991,2030,Open,"2,657,976",2022,Yes,1.099,1.099,180383-0,Candidate,,,,Unknown,Unknown,,,,,,
1002732,10500,Crittenden County Sanitary Landfill,AR,1299 Kuhn Road,West Memphis,Crittenden,72301,35.13597,-90.25606,Public,"Crittenden County, AR",1989,2038,Open,"2,115,732",2022,No,,,180902-0,Candidate,,,,Unknown,Unknown,,,,,,
,21404,Drew County Sanitary Landfill,AR,Jose Chapel Road,Monticello,Drew,,33.719375,-91.744474,Public,"Drew County, AR",1979,1994,Closed,,,No,,,201740-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003406,2282,Eco-Vista Landfill,AR,2210 Waste Management Drive,Springdale,Washington,72762,36.140147,-94.256073,Private,WM,1980,2023,Closed,"11,496,914",2022,Yes,3.881,2.498,180372-0,Shutdown,Project #1,11/1/2010,10/24/2022,Electricity,Reciprocating Engine,,2.58,4,1.388,,
